Job launching after 0.10 seconds in submission.
Running python job.
Changed into dir /home/ec2-user/HiggsBosonML/source_code
Importing hyper_opt.py
Running hyper_opt.main()
WARNING:tensorflow:From /home/ec2-user/HiggsBosonML/source_code/hyper_opt.py:143: initialize_all_variables (from tensorflow.python.ops.variables) is deprecated and will be removed after 2017-03-02.
Instructions for updating:
Use `tf.global_variables_initializer` instead.
W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.1 instructions, but these are available on your machine and could speed up CPU computations.
W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.2 instructions, but these are available on your machine and could speed up CPU computations.
W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX instructions, but these are available on your machine and could speed up CPU computations.
W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX2 instructions, but these are available on your machine and could speed up CPU computations.
W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use FMA instructions, but these are available on your machine and could speed up CPU computations.
{u'units_per_layer': array([500]), u'n_hidden_layers': array([8]), u'learning_rate': array([ 0.05953103]), u'beta': array([ 100.])}
('Epoch:', '0142', 'test cost=', '0.641012967')
('Epoch:', '0143', 'training cost=', '21.117683289')
('Epoch:', '0143', 'test cost=', '0.640830696')
('Epoch:', '0144', 'training cost=', '21.143055706')
('Epoch:', '0144', 'test cost=', '0.640985906')
('Epoch:', '0145', 'training cost=', '21.141379709')
('Epoch:', '0145', 'test cost=', '0.644184351')
('Epoch:', '0146', 'training cost=', '21.110455748')
('Epoch:', '0146', 'test cost=', '0.643931389')
('Epoch:', '0147', 'training cost=', '21.138888006')
('Epoch:', '0147', 'test cost=', '0.641340911')
('Epoch:', '0148', 'training cost=', '21.132465849')
('Epoch:', '0148', 'test cost=', '0.640860677')
('Epoch:', '0149', 'training cost=', '21.129120865')
('Epoch:', '0149', 'test cost=', '0.640975893')
('Epoch:', '0150', 'training cost=', '21.125228094')
('Epoch:', '0150', 'test cost=', '0.641827285')
('Epoch:', '0151', 'training cost=', '21.125592878')
('Epoch:', '0151', 'test cost=', '0.642338455')
('Epoch:', '0152', 'training cost=', '21.132239685')
('Epoch:', '0152', 'test cost=', '0.641734540')
('Epoch:', '0153', 'training cost=', '21.129800917')
('Epoch:', '0153', 'test cost=', '0.642533123')
('Epoch:', '0154', 'training cost=', '21.137746468')
('Epoch:', '0154', 'test cost=', '0.644145608')
('Epoch:', '0155', 'training cost=', '21.131081280')
('Epoch:', '0155', 'test cost=', '0.643363297')
('Epoch:', '0156', 'training cost=', '21.120759506')
('Epoch:', '0156', 'test cost=', '0.641298294')
('Epoch:', '0157', 'training cost=', '21.134330519')
('Epoch:', '0157', 'test cost=', '0.641007662')
('Epoch:', '0158', 'training cost=', '21.146376110')
('Epoch:', '0158', 'test cost=', '0.641237378')
('Epoch:', '0159', 'training cost=', '21.114190454')
('Epoch:', '0159', 'test cost=', '0.642971456')
('Epoch:', '0160', 'training cost=', '21.143134556')
('Epoch:', '0160', 'test cost=', '0.641244411')
('Epoch:', '0161', 'training cost=', '21.130521488')
('Epoch:', '0161', 'test cost=', '0.641425788')
('Epoch:', '0162', 'training cost=', '21.117065962')
('Epoch:', '0162', 'test cost=', '0.641420722')
('Epoch:', '0163', 'training cost=', '21.131085682')
('Epoch:', '0163', 'test cost=', '0.641025662')
('Epoch:', '0164', 'training cost=', '21.124419689')
('Epoch:', '0164', 'test cost=', '0.641206741')
('Epoch:', '0165', 'training cost=', '21.137049061')
('Epoch:', '0165', 'test cost=', '0.652149498')
('Epoch:', '0166', 'training cost=', '21.123088709')
('Epoch:', '0166', 'test cost=', '0.641473413')
('Epoch:', '0167', 'training cost=', '21.118736853')
('Epoch:', '0167', 'test cost=', '0.642621160')
('Epoch:', '0168', 'training cost=', '21.139169827')
('Epoch:', '0168', 'test cost=', '0.640921891')
('Epoch:', '0169', 'training cost=', '21.132858078')
('Epoch:', '0169', 'test cost=', '0.640844345')
('Epoch:', '0170', 'training cost=', '21.137962759')
('Epoch:', '0170', 'test cost=', '0.641087592')
('Epoch:', '0171', 'training cost=', '21.128856123')
('Epoch:', '0171', 'test cost=', '0.640794933')
('Epoch:', '0172', 'training cost=', '21.123422186')
('Epoch:', '0172', 'test cost=', '0.642341137')
('Epoch:', '0173', 'training cost=', '21.135089634')
('Epoch:', '0173', 'test cost=', '0.642583847')
('Epoch:', '0174', 'training cost=', '21.137810715')
('Epoch:', '0174', 'test cost=', '0.640979171')
('Epoch:', '0175', 'training cost=', '21.119010288')
('Epoch:', '0175', 'test cost=', '0.641425431')
('Epoch:', '0176', 'training cost=', '21.135711044')
('Epoch:', '0176', 'test cost=', '0.640936494')
('Epoch:', '0177', 'training cost=', '21.133534531')
('Epoch:', '0177', 'test cost=', '0.640910327')
('Epoch:', '0178', 'training cost=', '21.131748541')
('Epoch:', '0178', 'test cost=', '0.641543388')
('Epoch:', '0179', 'training cost=', '21.121311083')
('Epoch:', '0179', 'test cost=', '0.647055089')
('Epoch:', '0180', 'training cost=', '21.118214710')
('Epoch:', '0180', 'test cost=', '0.641018629')
('Epoch:', '0181', 'training cost=', '21.145178175')
('Epoch:', '0181', 'test cost=', '0.640830278')
('Epoch:', '0182', 'training cost=', '21.126415697')
('Epoch:', '0182', 'test cost=', '0.641564429')
('Epoch:', '0183', 'training cost=', '21.129614113')
('Epoch:', '0183', 'test cost=', '0.640840828')
('Epoch:', '0184', 'training cost=', '21.134194727')
('Epoch:', '0184', 'test cost=', '0.641619802')
('Epoch:', '0185', 'training cost=', '21.136909153')
('Epoch:', '0185', 'test cost=', '0.641283035')
('Epoch:', '0186', 'training cost=', '21.116094814')
('Epoch:', '0186', 'test cost=', '0.640828252')
('Epoch:', '0187', 'training cost=', '21.140329412')
('Epoch:', '0187', 'test cost=', '0.640834153')
('Epoch:', '0188', 'training cost=', '21.112015663')
('Epoch:', '0188', 'test cost=', '0.640883446')
('Epoch:', '0189', 'training cost=', '21.134143778')
('Epoch:', '0189', 'test cost=', '0.641040742')
('Epoch:', '0190', 'training cost=', '21.125165028')
('Epoch:', '0190', 'test cost=', '0.640891016')
('Epoch:', '0191', 'training cost=', '21.132874952')
('Epoch:', '0191', 'test cost=', '0.641184390')
('Epoch:', '0192', 'training cost=', '21.125759094')
('Epoch:', '0192', 'test cost=', '0.642205834')
('Epoch:', '0193', 'training cost=', '21.149781263')
('Epoch:', '0193', 'test cost=', '0.640774190')
('Epoch:', '0194', 'training cost=', '21.139705734')
('Epoch:', '0194', 'test cost=', '0.642554104')
('Epoch:', '0195', 'training cost=', '21.131824354')
('Epoch:', '0195', 'test cost=', '0.644826651')
('Epoch:', '0196', 'training cost=', '21.120199274')
('Epoch:', '0196', 'test cost=', '0.641532958')
('Epoch:', '0197', 'training cost=', '21.121072357')
('Epoch:', '0197', 'test cost=', '0.641009390')
('Epoch:', '0198', 'training cost=', '21.133934198')
('Epoch:', '0198', 'test cost=', '0.641361713')
('Epoch:', '0199', 'training cost=', '21.115486822')
('Epoch:', '0199', 'test cost=', '0.641282856')
('Epoch:', '0200', 'training cost=', '21.130371117')
('Epoch:', '0200', 'test cost=', '0.640835404')
('Epoch:', '0201', 'training cost=', '21.148001268')
('Epoch:', '0201', 'test cost=', '0.640781224')
('Epoch:', '0202', 'training cost=', '21.120699718')
('Epoch:', '0202', 'test cost=', '0.641299248')
('Epoch:', '0203', 'training cost=', '21.130380039')
('Epoch:', '0203', 'test cost=', '0.641624331')
('Epoch:', '0204', 'training cost=', '21.146220102')
('Epoch:', '0204', 'test cost=', '0.645703137')
('Epoch:', '0205', 'training cost=', '21.130705040')
('Epoch:', '0205', 'test cost=', '0.643127561')
('Epoch:', '0206', 'training cost=', '21.123760578')
('Epoch:', '0206', 'test cost=', '0.640853226')
('Epoch:', '0207', 'training cost=', '21.127617140')
('Epoch:', '0207', 'test cost=', '0.645089209')
('Epoch:', '0208', 'training cost=', '21.138351780')
('Epoch:', '0208', 'test cost=', '0.644882917')
('Epoch:', '0209', 'training cost=', '21.121887882')
('Epoch:', '0209', 'test cost=', '0.640781760')
('Epoch:', '0210', 'training cost=', '21.139292049')
('Epoch:', '0210', 'test cost=', '0.641577125')
('Epoch:', '0211', 'training cost=', '21.141495632')
('Epoch:', '0211', 'test cost=', '0.641392291')
('Epoch:', '0212', 'training cost=', '21.111210325')
('Epoch:', '0212', 'test cost=', '0.641262591')
('Epoch:', '0213', 'training cost=', '21.114725311')
('Epoch:', '0213', 'test cost=', '0.641507030')
('Epoch:', '0214', 'training cost=', '21.135416346')
('Epoch:', '0214', 'test cost=', '0.641264856')
('Epoch:', '0215', 'training cost=', '21.127416641')
('Epoch:', '0215', 'test cost=', '0.640977740')
('Epoch:', '0216', 'training cost=', '21.133751629')
('Epoch:', '0216', 'test cost=', '0.642463565')
('Epoch:', '0217', 'training cost=', '21.147834578')
('Epoch:', '0217', 'test cost=', '0.640978217')
('Epoch:', '0218', 'training cost=', '21.127775633')
('Epoch:', '0218', 'test cost=', '0.640835166')
('Epoch:', '0219', 'training cost=', '21.124853504')
('Epoch:', '0219', 'test cost=', '0.640797973')
('Epoch:', '0220', 'training cost=', '21.124131460')
('Epoch:', '0220', 'test cost=', '0.640797913')
('Epoch:', '0221', 'training cost=', '21.125561436')
('Epoch:', '0221', 'test cost=', '0.640816510')
('Epoch:', '0222', 'training cost=', '21.121093748')
('Epoch:', '0222', 'test cost=', '0.641310036')
('Epoch:', '0223', 'training cost=', '21.134362761')
('Epoch:', '0223', 'test cost=', '0.641861498')
('Epoch:', '0224', 'training cost=', '21.137513899')
('Epoch:', '0224', 'test cost=', '0.646217644')
('Epoch:', '0225', 'training cost=', '21.131929243')
('Epoch:', '0225', 'test cost=', '0.641321778')
('Epoch:', '0226', 'training cost=', '21.135477474')
('Epoch:', '0226', 'test cost=', '0.641683102')
('Epoch:', '0227', 'training cost=', '21.138477520')
('Epoch:', '0227', 'test cost=', '0.640802503')
('Epoch:', '0228', 'training cost=', '21.138472668')
('Epoch:', '0228', 'test cost=', '0.641546249')
('Epoch:', '0229', 'training cost=', '21.117411564')
('Epoch:', '0229', 'test cost=', '0.640903890')
('Epoch:', '0230', 'training cost=', '21.125545237')
('Epoch:', '0230', 'test cost=', '0.640941381')
('Epoch:', '0231', 'training cost=', '21.124336128')
('Epoch:', '0231', 'test cost=', '0.641237378')
('Epoch:', '0232', 'training cost=', '21.115813238')
('Epoch:', '0232', 'test cost=', '0.641072750')
('Epoch:', '0233', 'training cost=', '21.136509235')
('Epoch:', '0233', 'test cost=', '0.641100705')
