Job launching after 0.10 seconds in submission.
Running python job.
Changed into dir /home/ec2-user/HiggsBosonML/source_code
Importing hyper_opt.py
Running hyper_opt.main()
WARNING:tensorflow:From /home/ec2-user/HiggsBosonML/source_code/hyper_opt.py:143: initialize_all_variables (from tensorflow.python.ops.variables) is deprecated and will be removed after 2017-03-02.
Instructions for updating:
Use `tf.global_variables_initializer` instead.
W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.1 instructions, but these are available on your machine and could speed up CPU computations.
W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.2 instructions, but these are available on your machine and could speed up CPU computations.
W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX instructions, but these are available on your machine and could speed up CPU computations.
W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX2 instructions, but these are available on your machine and could speed up CPU computations.
W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use FMA instructions, but these are available on your machine and could speed up CPU computations.
{u'units_per_layer': array([275]), u'n_hidden_layers': array([5]), u'learning_rate': array([ 0.50005]), u'beta': array([ 50.05])}
('Epoch:', '0066', 'test cost=', '0.654331744')
('Epoch:', '0067', 'training cost=', '1564.222163330')
('Epoch:', '0067', 'test cost=', '0.641534448')
('Epoch:', '0068', 'training cost=', '1564.020389771')
('Epoch:', '0068', 'test cost=', '0.647428453')
('Epoch:', '0069', 'training cost=', '1564.449645508')
('Epoch:', '0069', 'test cost=', '0.659675002')
('Epoch:', '0070', 'training cost=', '1563.749566895')
('Epoch:', '0070', 'test cost=', '0.654826283')
('Epoch:', '0071', 'training cost=', '1563.583551270')
('Epoch:', '0071', 'test cost=', '0.666632235')
('Epoch:', '0072', 'training cost=', '1563.561120239')
('Epoch:', '0072', 'test cost=', '0.642410159')
('Epoch:', '0073', 'training cost=', '1564.065094116')
('Epoch:', '0073', 'test cost=', '0.645052910')
('Epoch:', '0074', 'training cost=', '1564.374376343')
('Epoch:', '0074', 'test cost=', '0.648178339')
('Epoch:', '0075', 'training cost=', '1563.755715576')
('Epoch:', '0075', 'test cost=', '0.642567754')
('Epoch:', '0076', 'training cost=', '1563.598889648')
('Epoch:', '0076', 'test cost=', '0.642540216')
('Epoch:', '0077', 'training cost=', '1563.136437256')
('Epoch:', '0077', 'test cost=', '0.653192401')
('Epoch:', '0078', 'training cost=', '1563.694277832')
('Epoch:', '0078', 'test cost=', '0.673918724')
('Epoch:', '0079', 'training cost=', '1564.354634399')
('Epoch:', '0079', 'test cost=', '0.640834451')
('Epoch:', '0080', 'training cost=', '1563.614298096')
('Epoch:', '0080', 'test cost=', '0.650602221')
('Epoch:', '0081', 'training cost=', '1563.978139771')
('Epoch:', '0081', 'test cost=', '0.646760702')
('Epoch:', '0082', 'training cost=', '1564.606323242')
('Epoch:', '0082', 'test cost=', '0.641033888')
('Epoch:', '0083', 'training cost=', '1563.869843628')
('Epoch:', '0083', 'test cost=', '0.663901925')
('Epoch:', '0084', 'training cost=', '1563.677322266')
('Epoch:', '0084', 'test cost=', '0.653015792')
('Epoch:', '0085', 'training cost=', '1564.163070801')
('Epoch:', '0085', 'test cost=', '0.640822530')
('Epoch:', '0086', 'training cost=', '1563.369580566')
('Epoch:', '0086', 'test cost=', '0.646031201')
('Epoch:', '0087', 'training cost=', '1563.513493652')
('Epoch:', '0087', 'test cost=', '0.666288912')
('Epoch:', '0088', 'training cost=', '1563.533267090')
('Epoch:', '0088', 'test cost=', '0.646326005')
('Epoch:', '0089', 'training cost=', '1563.533536499')
('Epoch:', '0089', 'test cost=', '0.642428398')
('Epoch:', '0090', 'training cost=', '1564.088528076')
('Epoch:', '0090', 'test cost=', '0.647565305')
('Epoch:', '0091', 'training cost=', '1564.414696167')
('Epoch:', '0091', 'test cost=', '0.640818119')
('Epoch:', '0092', 'training cost=', '1563.707141846')
('Epoch:', '0092', 'test cost=', '0.640861690')
('Epoch:', '0093', 'training cost=', '1563.705968140')
('Epoch:', '0093', 'test cost=', '0.644968688')
('Epoch:', '0094', 'training cost=', '1563.584244385')
('Epoch:', '0094', 'test cost=', '0.660986543')
('Epoch:', '0095', 'training cost=', '1563.846718140')
('Epoch:', '0095', 'test cost=', '0.640900254')
('Epoch:', '0096', 'training cost=', '1564.172741943')
('Epoch:', '0096', 'test cost=', '0.694387257')
('Epoch:', '0097', 'training cost=', '1564.101075928')
('Epoch:', '0097', 'test cost=', '0.646205366')
('Epoch:', '0098', 'training cost=', '1563.927431152')
('Epoch:', '0098', 'test cost=', '0.641625583')
('Epoch:', '0099', 'training cost=', '1563.989602295')
('Epoch:', '0099', 'test cost=', '0.642404199')
('Epoch:', '0100', 'training cost=', '1563.389444092')
('Epoch:', '0100', 'test cost=', '0.640913963')
('Epoch:', '0101', 'training cost=', '1563.980151001')
('Epoch:', '0101', 'test cost=', '0.641364217')
('Epoch:', '0102', 'training cost=', '1563.816931885')
('Epoch:', '0102', 'test cost=', '0.642565310')
('Epoch:', '0103', 'training cost=', '1563.992736694')
('Epoch:', '0103', 'test cost=', '0.656458914')
('Epoch:', '0104', 'training cost=', '1563.793476563')
('Epoch:', '0104', 'test cost=', '0.641542912')
('Epoch:', '0105', 'training cost=', '1564.218262451')
('Epoch:', '0105', 'test cost=', '0.651506841')
('Epoch:', '0106', 'training cost=', '1563.718448242')
('Epoch:', '0106', 'test cost=', '0.666566968')
('Epoch:', '0107', 'training cost=', '1563.572780518')
('Epoch:', '0107', 'test cost=', '0.655730963')
('Epoch:', '0108', 'training cost=', '1563.951378296')
('Epoch:', '0108', 'test cost=', '0.641760588')
('Epoch:', '0109', 'training cost=', '1564.093061890')
('Epoch:', '0109', 'test cost=', '0.653410912')
('Epoch:', '0110', 'training cost=', '1563.886696899')
('Epoch:', '0110', 'test cost=', '0.641184449')
('Epoch:', '0111', 'training cost=', '1563.692517456')
('Epoch:', '0111', 'test cost=', '0.646934688')
('Epoch:', '0112', 'training cost=', '1564.161515015')
('Epoch:', '0112', 'test cost=', '0.641556978')
('Epoch:', '0113', 'training cost=', '1563.776196045')
('Epoch:', '0113', 'test cost=', '0.648325801')
('Epoch:', '0114', 'training cost=', '1563.517083008')
('Epoch:', '0114', 'test cost=', '0.644301951')
('Epoch:', '0115', 'training cost=', '1563.953348511')
('Epoch:', '0115', 'test cost=', '0.646806419')
('Epoch:', '0116', 'training cost=', '1563.932171021')
('Epoch:', '0116', 'test cost=', '0.656888008')
('Epoch:', '0117', 'training cost=', '1563.933532593')
('Epoch:', '0117', 'test cost=', '0.641039550')
('Epoch:', '0118', 'training cost=', '1563.452772095')
('Epoch:', '0118', 'test cost=', '0.645040572')
('Epoch:', '0119', 'training cost=', '1563.685954102')
('Epoch:', '0119', 'test cost=', '0.643367946')
('Epoch:', '0120', 'training cost=', '1563.393794067')
('Epoch:', '0120', 'test cost=', '0.640865922')
('Epoch:', '0121', 'training cost=', '1564.218138184')
('Epoch:', '0121', 'test cost=', '0.645792603')
('Epoch:', '0122', 'training cost=', '1564.139564819')
('Epoch:', '0122', 'test cost=', '0.644957304')
('Epoch:', '0123', 'training cost=', '1563.805886597')
('Epoch:', '0123', 'test cost=', '0.642893136')
('Epoch:', '0124', 'training cost=', '1564.368348389')
('Epoch:', '0124', 'test cost=', '0.648094893')
